area,baths,beds,City,Zipcode,Price,Age
722.0,1.0,1.0,Seattle,98121,460000,53
660.0,1.0,1.0,Seattle,98122,365000,32
985.0,1.0,1.0,Seattle,98121,658000,51
1188.0,2.0,2.0,Seattle,98102,1100000,54
1461.0,2.0,3.0,Seattle,98102,2100000,45
1200.0,3.0,3.0,Seattle,98117,745000,58
1570.0,2.0,2.0,Seattle,98112,800000,48
2400.0,4.0,4.0,Seattle,98112,1700000,52
1690.0,2.0,2.0,Seattle,98104,910000,50
2760.0,2.0,4.0,Seattle,98115,1129950,49
960.0,1.0,1.0,Seattle,98101,640000,59
796.0,1.0,1.0,Seattle,98101,510000,57
3070.0,2.0,5.0,Seattle,98107,1548000,47
2240.0,2.0,4.0,Seattle,98107,1407000,40
1500.0,2.0,2.0,Seattle,98103,1850000,40
1530.0,4.0,3.0,Seattle,98109,1130000,37
918.0,2.0,2.0,Seattle,98112,580000,30
1960.0,2.0,3.0,Seattle,98102,1600000,45
707.0,1.0,1.0,Seattle,98133,300000,42
1438.0,2.0,2.0,Seattle,98121,1280000,33
464.0,1.0,1.0,Seattle,98101,410000,60
4756.0,5.0,5.0,Seattle,98034,3617000,32
1796.0,3.0,3.0,Seattle,98102,999900,40
2552.0,4.0,4.0,Seattle,98125,1260000,54
1487.0,2.0,3.0,Seattle,98102,940000,50
2200.0,3.0,6.0,Seattle,98122,615000,52
685.0,1.0,1.0,Seattle,98122,489000,58
615.0,1.0,1.0,Seattle,98122,349950,47
836.0,1.0,1.0,Seattle,98122,439000,48
1417.0,2.0,3.0,Seattle,98122,939000,59
1772.0,2.0,3.0,Seattle,98122,1060000,40
1339.0,2.0,2.0,Seattle,98122,590000,39
889.0,1.0,2.0,Seattle,98122,475000,31
889.0,1.0,2.0,Seattle,98122,475000,45
3820.0,5.0,6.0,Seattle,98122,2420000,50
2061.0,4.0,3.0,Seattle,98122,1100000,49
710.0,1.0,2.0,Seattle,98122,635000,39
1400.0,2.0,3.0,Seattle,98122,890000,35
444.0,1.0,1.0,Seattle,98122,257500,50
3410.0,4.0,5.0,Seattle,98122,1775000,48
3040.0,4.0,4.0,Seattle,98122,1500000,33
983.0,2.0,2.0,Seattle,98122,525000,40
952.0,2.0,2.0,Seattle,98122,725000,54
1006.0,,,Seattle,98122,1195000,38
1402.0,3.0,3.0,Seattle,98122,1195000,57
2940.0,4.0,4.0,Seattle,98122,1800000,47
1503.0,2.0,3.0,Seattle,98122,1075950,35
1950.0,2.0,2.0,Seattle,98122,875000,37
1870.0,2.0,3.0,Seattle,98122,1055000,30
1480.0,2.0,3.0,Seattle,98122,1200000,52
3340.0,4.0,4.0,Seattle,98122,2110000,57
3820.0,5.0,6.0,Seattle,98122,2175000,33
2200.0,2.0,3.0,Seattle,98122,1025000,34
1590.0,4.0,3.0,Seattle,98122,840000,47
1720.0,2.0,3.0,Seattle,98122,900000,44
1500.0,4.0,3.0,Seattle,98122,840000,48
499.0,1.0,1.0,Seattle,98122,322000,40
